2025-02-10 16:09:21.889846, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 16:11:11.766733, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 16:19:29.103386, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 16:20:00.183389, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 16:24:46.327044, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 16:25:17.872225, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 16:26:50.061506, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 16:28:51.903632, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 16:29:48.755796, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 16:30:54.388947, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 16:33:16.22901, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-11 13:11:25.918983, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 16:09:05.444932, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 16:10:16.204067, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 16:11:23.374895, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 16:11:57.986091, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 16:13:27.901597, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 16:14:53.906315, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 16:17:27.212599, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 16:19:01.097963, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 16:21:42.675384, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 16:21:52.12019, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 16:22:35.104836, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 16:35:08.101583, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 16:35:36.188465, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 16:39:35.199904, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 16:40:19.013181, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 16:41:17.583687, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 16:53:24.748641, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 17:00:43.900519, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 17:01:55.772672, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 17:16:28.712707, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 17:17:54.964355, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-11 17:19:51.265805, 109.118.122.188, Bologna, Emilia-Romagna, IT
2025-02-12 11:15:45.061126, 109.118.118.131, Bologna, Emilia-Romagna, IT
2025-02-12 11:34:51.856146, 109.118.118.131, Bologna, Emilia-Romagna, IT
2025-02-12 11:35:50.690767, 109.118.118.131, Bologna, Emilia-Romagna, IT
